geneID	GO
TRINITY_DN100486_c0_g1_i1	GO:0005634;GO:0030877;GO:0008022;GO:0008270;GO:0016874;GO:0042802;GO:0061630;GO:0006915;GO:0007275;GO:0042787;GO:0043161;GO:2001244
TRINITY_DN100496_c0_g1_i1	GO:0016746
TRINITY_DN100511_c0_g1_i1	NA
TRINITY_DN100514_c0_g1_i1	NA
TRINITY_DN100520_c0_g1_i1	NA
TRINITY_DN100520_c0_g1_i2	NA
TRINITY_DN100520_c0_g1_i3	NA
TRINITY_DN100521_c0_g1_i1	NA
TRINITY_DN100529_c0_g1_i1	NA
TRINITY_DN100529_c0_g1_i2	NA
TRINITY_DN100530_c0_g1_i1	NA
TRINITY_DN100531_c0_g1_i2	GO:0016021
TRINITY_DN100540_c0_g1_i1	GO:0000138;GO:0005797;GO:0016021;GO:0006886
TRINITY_DN100544_c0_g1_i1	NA
TRINITY_DN100548_c0_g1_i1	GO:0012505;GO:0000003;GO:0002121;GO:0006888;GO:0007030;GO:0009953;GO:0034389;GO:0035220;GO:0048042;GO:0061357;GO:0070863;GO:0090263
TRINITY_DN100548_c0_g2_i1	GO:0016020
TRINITY_DN100555_c0_g1_i1	GO:0005634;GO:0005764;GO:0034448;GO:1990131;GO:0003924;GO:0005525;GO:0009267;GO:0010506;GO:0032008;GO:0071230
TRINITY_DN100555_c0_g1_i2	GO:0005634;GO:0005764;GO:0034448;GO:1990131;GO:0003924;GO:0005525;GO:0009267;GO:0010506;GO:0032008;GO:0071230
TRINITY_DN100556_c0_g1_i1	GO:0016021;GO:0005338;GO:0044765;GO:0071702
TRINITY_DN100561_c0_g1_i1	NA
TRINITY_DN100563_c0_g1_i1	NA
TRINITY_DN100565_c0_g1_i1	GO:0008152;GO:0009987
TRINITY_DN100565_c0_g2_i1	NA
TRINITY_DN100565_c0_g3_i1	GO:0044424;GO:0008152;GO:0009987
TRINITY_DN100567_c0_g1_i1	NA
TRINITY_DN100580_c0_g1_i1	GO:0005829;GO:0019780;GO:0006511;GO:0007399;GO:0032446
TRINITY_DN100586_c0_g1_i1	GO:0005813;GO:0005849;GO:0042382;GO:0003729;GO:0016787;GO:0017091;GO:0042803;GO:0042826;GO:0000398;GO:0006369;GO:0006378;GO:0051262
TRINITY_DN100586_c0_g1_i3	GO:0005813;GO:0005849;GO:0042382;GO:0003729;GO:0016787;GO:0017091;GO:0042803;GO:0042826;GO:0000398;GO:0006369;GO:0006378;GO:0051262
TRINITY_DN100601_c0_g1_i1	GO:0016020;GO:0015103;GO:0015698;GO:0044765
TRINITY_DN100601_c0_g1_i2	GO:0016020;GO:0015103;GO:0015698;GO:0044765
TRINITY_DN100607_c1_g3_i2	NA
TRINITY_DN100609_c0_g1_i1	NA
TRINITY_DN100609_c0_g1_i2	GO:0065007
TRINITY_DN100609_c0_g3_i1	NA
TRINITY_DN100631_c0_g2_i1	GO:0016020;GO:0044464;GO:0005488;GO:0016887;GO:0022857;GO:0044699;GO:0055085
TRINITY_DN100632_c0_g1_i1	GO:0016020;GO:0015924;GO:0015926;GO:0009100;GO:0036503;GO:0044265
TRINITY_DN100632_c0_g1_i2	GO:0016787
TRINITY_DN100638_c0_g2_i1	NA
TRINITY_DN100638_c0_g3_i1	NA
TRINITY_DN100638_c0_g3_i2	NA
TRINITY_DN100643_c0_g1_i1	GO:0005737;GO:0000287;GO:0008441;GO:0006139;GO:0006796
TRINITY_DN100643_c0_g2_i1	GO:0005737;GO:0000287;GO:0008441;GO:0006139;GO:0006796
TRINITY_DN100646_c0_g1_i1	NA
TRINITY_DN100648_c0_g1_i1	NA
TRINITY_DN100648_c0_g2_i2	NA
TRINITY_DN100658_c0_g3_i1	NA
TRINITY_DN100661_c0_g1_i1	NA
TRINITY_DN100664_c0_g3_i1	NA
TRINITY_DN100664_c0_g3_i2	NA
TRINITY_DN100665_c0_g1_i1	GO:0016020;GO:0016829
TRINITY_DN100665_c0_g1_i2	GO:0016020;GO:0016829
TRINITY_DN100670_c0_g2_i1	NA
TRINITY_DN100672_c0_g1_i1	NA
TRINITY_DN100676_c0_g1_i1	NA
TRINITY_DN100677_c0_g1_i1	GO:0046872
TRINITY_DN100677_c0_g1_i2	GO:0046872
TRINITY_DN100678_c0_g1_i1	GO:0044424;GO:0003700;GO:0005488;GO:0006355;GO:0009987;GO:0048731
TRINITY_DN100678_c0_g1_i2	GO:0044424;GO:0003700;GO:0006355
TRINITY_DN100678_c0_g1_i3	GO:0044424;GO:0003700;GO:0006355
TRINITY_DN100678_c0_g1_i4	GO:0044424
TRINITY_DN100678_c0_g1_i5	GO:0005634;GO:0005667;GO:0005737;GO:0000981;GO:0019899;GO:0001568;GO:0003007;GO:0007399;GO:0009966;GO:0010508;GO:0030154;GO:0034645;GO:0035239;GO:0043010;GO:0043066;GO:0044238;GO:0045944;GO:0048568;GO:0048878;GO:0051179;GO:0051240;GO:0060429;GO:0071456;GO:2000026
TRINITY_DN100678_c0_g1_i6	GO:0044424;GO:0003700;GO:0005488;GO:0006355;GO:0009987;GO:0048731
TRINITY_DN100681_c0_g1_i1	NA
TRINITY_DN100690_c0_g1_i1	GO:0005743;GO:0070469;GO:0008121;GO:0046872;GO:0051537;GO:0055114;GO:1902600
TRINITY_DN100699_c0_g1_i1	GO:0000776;GO:0005813;GO:0005829;GO:0005869;GO:0006888;GO:0019886
TRINITY_DN100700_c0_g1_i1	GO:0022627;GO:0030686;GO:0032040;GO:0003735;GO:0006364;GO:0006412;GO:0007275;GO:0042274
TRINITY_DN100707_c0_g1_i1	NA
TRINITY_DN100707_c0_g1_i2	NA
TRINITY_DN100708_c0_g1_i1	NA
TRINITY_DN100708_c0_g2_i1	NA
TRINITY_DN100715_c0_g1_i1	NA
TRINITY_DN100821_c0_g1_i1	NA
TRINITY_DN100821_c0_g2_i1	NA
TRINITY_DN100827_c0_g1_i1	NA
TRINITY_DN100846_c0_g1_i1	NA
TRINITY_DN100846_c0_g2_i1	NA
TRINITY_DN100846_c0_g2_i2	GO:0070062;GO:0050890
TRINITY_DN100846_c0_g2_i3	NA
TRINITY_DN100849_c0_g1_i1	GO:0005737;GO:0016021;GO:0004152;GO:0017113;GO:0051536;GO:0006207;GO:0006212;GO:0055114
TRINITY_DN100854_c0_g1_i1	NA
TRINITY_DN100878_c0_g1_i2	GO:0016491;GO:0055114
TRINITY_DN100879_c0_g1_i1	NA
TRINITY_DN100885_c0_g1_i1	GO:0008233;GO:0006508
TRINITY_DN100886_c0_g1_i1	NA
TRINITY_DN100901_c0_g2_i1	NA
TRINITY_DN100912_c0_g1_i1	NA
TRINITY_DN100913_c0_g1_i1	NA
TRINITY_DN100914_c0_g1_i1	NA
TRINITY_DN100915_c0_g1_i1	NA
TRINITY_DN100915_c0_g1_i2	NA
TRINITY_DN100915_c0_g1_i3	NA
TRINITY_DN100915_c0_g1_i4	NA
TRINITY_DN100925_c0_g2_i2	NA
TRINITY_DN100925_c0_g3_i1	NA
TRINITY_DN100935_c0_g1_i1	GO:0016020;GO:0000166;GO:0016887;GO:0006810
TRINITY_DN100935_c0_g1_i2	GO:0016020;GO:0000166;GO:0016887;GO:0006810
TRINITY_DN100935_c0_g2_i1	GO:0016021;GO:0005524;GO:0042626;GO:0055085
TRINITY_DN100944_c0_g3_i1	NA
TRINITY_DN100944_c0_g3_i3	NA
TRINITY_DN100950_c0_g1_i2	NA
TRINITY_DN100950_c0_g1_i3	NA
TRINITY_DN100952_c0_g1_i1	NA
TRINITY_DN100955_c0_g1_i1	GO:0005739;GO:0015035;GO:0016671;GO:0000103;GO:0006457;GO:0034599;GO:0045454;GO:0055114
TRINITY_DN100955_c0_g1_i2	GO:0005739;GO:0015035;GO:0016671;GO:0000103;GO:0006457;GO:0034599;GO:0045454;GO:0055114
TRINITY_DN100959_c0_g1_i1	GO:0016021;GO:0004674;GO:0005524;GO:0006468
TRINITY_DN100959_c1_g1_i1	GO:0016021;GO:0004672;GO:0005524;GO:0006468
TRINITY_DN100959_c1_g2_i1	GO:0016021;GO:0004672;GO:0005524;GO:0006468
TRINITY_DN100959_c2_g1_i1	GO:0016020;GO:0004672;GO:0005524;GO:0006468
TRINITY_DN100975_c0_g1_i1	GO:0006810
TRINITY_DN100975_c0_g1_i2	NA
TRINITY_DN100977_c0_g1_i1	NA
TRINITY_DN100977_c0_g2_i1	NA
TRINITY_DN100996_c0_g1_i1	NA
TRINITY_DN100996_c0_g1_i2	NA
TRINITY_DN101005_c0_g1_i2	NA
TRINITY_DN101019_c0_g1_i1	GO:0000151;GO:0030139;GO:0043234;GO:0048471;GO:0004842;GO:0042803;GO:0070735;GO:0001570;GO:0001756;GO:0001885;GO:0002090;GO:0003407;GO:0003408;GO:0007219;GO:0007368;GO:0007507;GO:0008284;GO:0009880;GO:0010001;GO:0021508;GO:0021519;GO:0021520;GO:0021521;GO:0021654;GO:0021986;GO:0030318;GO:0031398;GO:0035315;GO:0039022;GO:0045664;GO:0045685;GO:0045747;GO:0048546;GO:0048666;GO:0048892;GO:0048899;GO:0048916;GO:0051865;GO:0060035;GO:0060113;GO:0060218;GO:0061195;GO:0061551;GO:0070086;GO:0071599
TRINITY_DN101028_c0_g1_i1	NA
TRINITY_DN101028_c0_g2_i1	NA
TRINITY_DN101030_c0_g1_i1	NA
TRINITY_DN101045_c0_g1_i1	NA
TRINITY_DN101045_c0_g1_i2	NA
TRINITY_DN101049_c0_g1_i1	NA
TRINITY_DN101049_c0_g1_i2	NA
TRINITY_DN101057_c0_g1_i1	GO:0005615;GO:0008152;GO:0032504;GO:0044699
TRINITY_DN101057_c0_g1_i2	GO:0005623;GO:0009055;GO:0015035;GO:0045454;GO:0055114
TRINITY_DN101057_c0_g1_i3	GO:0044699
TRINITY_DN101061_c0_g1_i1	NA
TRINITY_DN101061_c0_g1_i2	NA
TRINITY_DN101061_c0_g1_i3	NA
TRINITY_DN101061_c0_g1_i4	NA
TRINITY_DN101064_c0_g1_i2	NA
TRINITY_DN101069_c0_g1_i1	GO:0005834;GO:0001664;GO:0003924;GO:0004871;GO:0005525;GO:0031683;GO:0046872;GO:0007188
TRINITY_DN101069_c0_g1_i2	GO:0003924;GO:0004871;GO:0005525;GO:0031683;GO:0046872;GO:0007188
TRINITY_DN101085_c0_g2_i1	GO:0016740
TRINITY_DN101085_c0_g2_i2	GO:0016740
TRINITY_DN101086_c0_g1_i1	GO:0022625;GO:0003723;GO:0003735;GO:0006412
TRINITY_DN101095_c0_g2_i1	GO:0033596;GO:0005096;GO:0019900;GO:0001934;GO:0006629;GO:0006909;GO:0006974;GO:0007584;GO:0008285;GO:0008340;GO:0010508;GO:0030308;GO:0032007;GO:0035069;GO:0038202;GO:0042632;GO:0043547;GO:0045792;GO:0045886;GO:0046331;GO:0046621;GO:0046627;GO:0048477;GO:0051726;GO:0071456;GO:1902350;GO:2000331
TRINITY_DN101095_c0_g3_i1	NA
TRINITY_DN101101_c0_g1_i1	NA
TRINITY_DN101105_c0_g1_i1	NA
TRINITY_DN101107_c0_g1_i1	NA
TRINITY_DN101107_c0_g2_i1	NA
TRINITY_DN101116_c0_g1_i1	NA
TRINITY_DN101116_c0_g1_i2	NA
TRINITY_DN101119_c0_g1_i1	GO:0016020
TRINITY_DN101119_c0_g1_i2	GO:0016020
TRINITY_DN101123_c0_g1_i1	GO:0005739;GO:0016702;GO:0016121;GO:0016122;GO:0042574;GO:0051881;GO:0055114;GO:2000377
TRINITY_DN101135_c0_g1_i1	GO:0005887;GO:0016323;GO:0022804;GO:0007588;GO:0071702
TRINITY_DN101135_c0_g1_i3	GO:0005887;GO:0016323;GO:0022804;GO:0007588;GO:0071702
TRINITY_DN101135_c0_g1_i4	NA
TRINITY_DN101142_c0_g1_i1	GO:0005761;GO:0006412
TRINITY_DN101152_c0_g1_i1	NA
TRINITY_DN101168_c0_g1_i1	NA
TRINITY_DN101172_c0_g1_i1	NA
TRINITY_DN101177_c0_g1_i1	GO:0005739;GO:0004408
TRINITY_DN101184_c0_g1_i1	GO:0044699;GO:0050789
TRINITY_DN101184_c0_g2_i1	NA
TRINITY_DN101192_c0_g1_i1	NA
TRINITY_DN101192_c0_g2_i1	NA
TRINITY_DN101194_c0_g1_i1	NA
TRINITY_DN101201_c0_g1_i1	NA
TRINITY_DN101210_c0_g1_i1	GO:0005768;GO:0005886;GO:0030139;GO:0070062;GO:0003924;GO:0005515;GO:0019003;GO:0016192;GO:0044763;GO:0044765;GO:0050896;GO:0051128
TRINITY_DN101212_c0_g1_i1	NA
TRINITY_DN101214_c0_g1_i1	GO:0022625;GO:0003735;GO:0002181
TRINITY_DN101218_c0_g1_i1	NA
TRINITY_DN101222_c0_g2_i1	NA
TRINITY_DN101222_c0_g2_i2	NA
TRINITY_DN101224_c0_g1_i1	NA
TRINITY_DN101226_c0_g1_i1	NA
TRINITY_DN101231_c0_g1_i1	NA
TRINITY_DN101245_c0_g1_i2	NA
TRINITY_DN101245_c0_g1_i3	NA
TRINITY_DN101254_c0_g1_i1	GO:0005654;GO:0005730;GO:0005925;GO:0022625;GO:0070062;GO:0003723;GO:0003735;GO:0005515;GO:0000184;GO:0006364;GO:0006413;GO:0006614;GO:0019083
TRINITY_DN101267_c0_g1_i1	NA
TRINITY_DN101271_c0_g1_i1	NA
TRINITY_DN101276_c0_g2_i1	NA
TRINITY_DN101285_c0_g1_i1	GO:0005634;GO:0005813;GO:0005829;GO:0009898;GO:0070062;GO:0004345;GO:0005536;GO:0042803;GO:0050661;GO:0001998;GO:0002033;GO:0006006;GO:0006695;GO:0006740;GO:0006741;GO:0006749;GO:0009051;GO:0010734;GO:0019322;GO:0021762;GO:0032613;GO:0032615;GO:0034599;GO:0040014;GO:0043249;GO:0043523;GO:0045471;GO:0046390;GO:0061052;GO:1904879;GO:2000378
TRINITY_DN101285_c0_g1_i2	GO:0005634;GO:0005813;GO:0005829;GO:0009898;GO:0070062;GO:0004345;GO:0005536;GO:0042803;GO:0050661;GO:0001998;GO:0002033;GO:0006006;GO:0006695;GO:0006740;GO:0006741;GO:0006749;GO:0009051;GO:0010734;GO:0019322;GO:0021762;GO:0032613;GO:0032615;GO:0034599;GO:0040014;GO:0043249;GO:0043523;GO:0045471;GO:0046390;GO:0061052;GO:1904879;GO:2000378
TRINITY_DN101288_c0_g1_i1	NA
TRINITY_DN101291_c0_g1_i1	GO:0005739;GO:0016021;GO:0009055;GO:0016491;GO:0055114
TRINITY_DN101296_c0_g1_i1	NA
TRINITY_DN101297_c0_g1_i1	GO:1901135
TRINITY_DN101297_c0_g2_i1	GO:1901135
TRINITY_DN101297_c0_g4_i1	NA
TRINITY_DN101306_c0_g1_i1	NA
TRINITY_DN101310_c0_g1_i1	GO:0044464;GO:0004674;GO:0005509;GO:0005524;GO:0006468
TRINITY_DN101310_c0_g2_i1	GO:0044464;GO:0004674;GO:0005509;GO:0005524;GO:0006468
TRINITY_DN101317_c0_g1_i1	NA
TRINITY_DN101317_c0_g1_i2	NA
TRINITY_DN101319_c0_g1_i1	NA
TRINITY_DN101326_c0_g1_i1	GO:0016020;GO:0043231;GO:0070695;GO:0031625;GO:0061630;GO:0007032;GO:0007040;GO:0008333;GO:0045022;GO:0065007
TRINITY_DN101329_c0_g1_i1	NA
TRINITY_DN101329_c0_g1_i2	NA
TRINITY_DN101335_c0_g1_i1	GO:0000166;GO:0003676
TRINITY_DN101340_c0_g1_i1	NA
TRINITY_DN101345_c0_g2_i1	NA
TRINITY_DN101349_c0_g1_i1	GO:0005634;GO:0005938;GO:0001784;GO:0004842;GO:0004871;GO:0005509;GO:0008270;GO:0016874;GO:0030971;GO:0006109;GO:0006897;GO:0007173;GO:0007175;GO:0007298;GO:0007465;GO:0007476;GO:0008069;GO:0010941;GO:0032353;GO:0042127;GO:0042787;GO:0048134
TRINITY_DN101355_c0_g2_i1	GO:0016787;GO:0008152
TRINITY_DN101367_c0_g1_i1	NA
TRINITY_DN101380_c0_g1_i1	GO:0046872
TRINITY_DN101382_c0_g1_i1	GO:0015935;GO:0003735;GO:0006412
TRINITY_DN101387_c0_g2_i1	NA
TRINITY_DN101391_c0_g1_i1	NA
TRINITY_DN101391_c0_g1_i2	NA
TRINITY_DN101392_c0_g1_i1	NA
TRINITY_DN101392_c0_g1_i2	NA
TRINITY_DN101392_c0_g1_i3	NA
TRINITY_DN101392_c0_g1_i4	NA
TRINITY_DN101397_c0_g1_i1	NA
TRINITY_DN101397_c0_g5_i1	NA
TRINITY_DN101403_c0_g1_i1	NA
TRINITY_DN101403_c0_g2_i1	NA
TRINITY_DN101411_c0_g1_i1	NA
TRINITY_DN101416_c0_g1_i1	NA
TRINITY_DN101416_c0_g1_i2	NA
TRINITY_DN101619_c0_g1_i1	NA
TRINITY_DN101619_c0_g2_i1	NA
TRINITY_DN101619_c0_g3_i1	NA
TRINITY_DN101638_c0_g1_i1	GO:0016020
TRINITY_DN101648_c0_g1_i1	NA
TRINITY_DN101653_c0_g1_i1	NA
TRINITY_DN101654_c0_g1_i1	NA
TRINITY_DN101656_c0_g1_i1	NA
TRINITY_DN101657_c0_g1_i1	NA
TRINITY_DN101663_c0_g1_i1	NA
TRINITY_DN101670_c0_g2_i1	NA
TRINITY_DN101676_c0_g1_i1	NA
TRINITY_DN101677_c0_g1_i1	GO:0009987
TRINITY_DN101679_c0_g2_i1	NA
TRINITY_DN101684_c0_g1_i1	NA
TRINITY_DN101686_c0_g1_i1	NA
TRINITY_DN101688_c0_g1_i2	GO:0016491;GO:0055114
TRINITY_DN101690_c0_g2_i1	NA
TRINITY_DN101691_c0_g1_i1	NA
TRINITY_DN101693_c0_g1_i1	NA
TRINITY_DN101694_c0_g1_i1	NA
TRINITY_DN101706_c0_g1_i1	NA
TRINITY_DN101709_c0_g2_i1	GO:0016021;GO:0005509
TRINITY_DN101709_c0_g2_i2	GO:0016021;GO:0005509
TRINITY_DN101709_c1_g1_i1	NA
TRINITY_DN101818_c0_g1_i1	NA
TRINITY_DN101819_c0_g1_i1	NA
TRINITY_DN101820_c0_g1_i1	GO:0008537
TRINITY_DN101825_c0_g1_i1	GO:0005686;GO:0005689;GO:0005730;GO:0016363;GO:0016607;GO:0071011;GO:0071013;GO:0003677;GO:0003700;GO:0005515;GO:0006351;GO:0045292;GO:0045893
TRINITY_DN101825_c0_g3_i1	GO:0005686;GO:0005689;GO:0005730;GO:0016363;GO:0016607;GO:0071011;GO:0071013;GO:0003677;GO:0003700;GO:0005515;GO:0006351;GO:0045292;GO:0045893
TRINITY_DN101827_c0_g1_i1	GO:0016772;GO:0006796;GO:0046129
TRINITY_DN101828_c0_g3_i1	NA
TRINITY_DN101837_c0_g1_i1	NA
TRINITY_DN101845_c0_g1_i1	NA
TRINITY_DN101850_c0_g1_i1	GO:0005743;GO:0016021;GO:0003735;GO:0006412;GO:0055085
TRINITY_DN101850_c0_g1_i2	GO:0005739;GO:0016020;GO:0003735;GO:0006412;GO:0006810
TRINITY_DN101857_c0_g1_i1	NA
TRINITY_DN101857_c0_g1_i2	NA
TRINITY_DN101867_c0_g1_i1	NA
TRINITY_DN101867_c0_g2_i1	NA
TRINITY_DN101871_c0_g1_i1	NA
TRINITY_DN101871_c0_g1_i2	NA
TRINITY_DN101875_c1_g1_i1	NA
TRINITY_DN101884_c0_g2_i1	GO:0005634;GO:0005737;GO:0019773;GO:0004298;GO:0006511
TRINITY_DN101889_c0_g1_i1	NA
TRINITY_DN101908_c0_g1_i1	NA
TRINITY_DN101908_c0_g1_i2	NA
TRINITY_DN101916_c0_g1_i1	NA
TRINITY_DN101917_c0_g1_i1	NA
TRINITY_DN102118_c0_g1_i1	GO:0016043;GO:0044763
TRINITY_DN102127_c0_g1_i1	NA
TRINITY_DN102127_c0_g2_i1	NA
TRINITY_DN102135_c0_g2_i1	NA
TRINITY_DN102136_c0_g1_i1	NA
TRINITY_DN102139_c0_g3_i1	NA
TRINITY_DN102140_c0_g1_i1	GO:0009987
TRINITY_DN102142_c0_g1_i1	GO:0005739;GO:0016020;GO:0005488;GO:0009987
TRINITY_DN102143_c0_g1_i1	GO:0003824
TRINITY_DN102144_c0_g1_i1	NA
TRINITY_DN102144_c0_g2_i1	GO:0030017;GO:0008092;GO:0016301;GO:0006936;GO:0007507;GO:0009888;GO:0030239
TRINITY_DN102147_c0_g1_i1	GO:0015630;GO:0044430;GO:0000166;GO:0017111
TRINITY_DN102160_c0_g1_i1	GO:0006464
